,Unnamed: 0,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,10,29934,Technology,region_23,0,m,sourcing,1,30,3,1,0,0,77,0
6,90,62658,Sales & Marketing,region_2,0,f,sourcing,1,20,4,1,0,0,55,0
10,245,24414,R&D,region_2,0,m,other,1,25,2,1,1,0,76,0
21,475,36691,Sales & Marketing,region_14,0,m,other,1,24,3,1,1,0,55,0
22,508,6788,Sales & Marketing,region_2,0,f,other,2,40,5,1,1,0,51,0
26,586,22660,Sales & Marketing,region_27,0,m,sourcing,2,24,3,1,0,0,47,0
35,714,6099,Sales & Marketing,region_22,0,f,sourcing,1,27,1,1,0,0,48,0
37,793,34642,Sales & Marketing,region_2,0,m,sourcing,1,23,3,1,0,0,44,0
44,887,53048,Analytics,region_31,0,m,other,1,27,4,1,0,0,91,0
46,903,66596,Sales & Marketing,region_25,0,m,other,1,26,5,1,0,0,51,0
51,1119,37770,Sales & Marketing,region_31,0,m,sourcing,1,24,3,1,0,0,53,0
53,1139,57220,Sales & Marketing,region_14,0,m,sourcing,1,25,3,1,0,0,51,0
55,1169,36805,Analytics,region_29,0,m,sourcing,1,30,3,1,1,0,85,0
58,1188,63434,Sales & Marketing,region_22,0,f,other,2,23,3,1,0,0,43,0
71,1413,39147,Sales & Marketing,region_16,0,m,sourcing,2,23,3,1,0,0,50,0
77,1559,73283,Analytics,region_22,0,m,other,1,25,3,1,0,0,87,0
80,1591,50560,Sales & Marketing,region_2,0,m,sourcing,2,24,5,1,0,0,54,0
82,1643,51411,Sales & Marketing,region_22,0,m,sourcing,1,23,3,1,0,0,49,0
90,1748,48958,Sales & Marketing,region_13,0,m,other,1,29,3,1,0,0,47,0
97,1868,29435,Analytics,region_22,0,m,sourcing,2,22,3,1,0,0,84,0
98,1885,7456,Sales & Marketing,region_1,0,m,other,1,28,5,1,0,0,48,0
101,1921,14085,Sales & Marketing,region_16,0,m,sourcing,1,22,3,1,0,0,61,1
104,1984,34143,Sales & Marketing,region_7,0,m,sourcing,1,22,5,1,1,0,49,0
107,2039,500,Sales & Marketing,region_2,0,m,sourcing,1,20,3,1,0,0,53,0
109,2134,17781,Sales & Marketing,region_31,0,m,other,1,23,3,1,1,0,47,1
111,2167,13605,Operations,region_2,0,m,other,1,25,4,1,0,0,58,0
121,2333,48212,Analytics,region_26,0,m,other,1,28,3,1,0,0,81,0
127,2448,45563,Analytics,region_22,0,m,sourcing,1,28,5,1,0,0,86,0
130,2506,61176,Analytics,region_2,0,m,other,1,29,5,1,0,0,85,0
134,2558,13681,Analytics,region_2,0,m,other,2,25,3,1,0,0,89,0
135,2559,43738,Sales & Marketing,region_2,0,f,other,1,20,3,1,0,0,48,0
138,2581,68416,Sales & Marketing,region_28,0,m,other,1,28,5,1,0,0,67,1
146,2756,12155,Sales & Marketing,region_7,0,m,other,2,25,3,1,0,0,49,0
174,3419,55620,Sales & Marketing,region_2,0,f,other,1,30,5,1,1,0,48,0
178,3504,45776,Sales & Marketing,region_32,0,m,sourcing,1,24,5,1,0,0,51,0
179,3507,46368,Sales & Marketing,region_32,0,m,other,1,27,5,1,0,0,51,0
184,3558,47523,Sales & Marketing,region_2,0,f,sourcing,1,26,4,1,1,0,55,0
188,3607,22215,R&D,region_2,0,m,other,2,25,3,1,0,0,84,0
193,3763,15773,Sales & Marketing,region_2,0,f,sourcing,1,25,3,1,1,1,92,1
195,3795,4071,Sales & Marketing,region_2,0,f,other,1,22,3,1,1,1,51,0
197,3827,21295,Sales & Marketing,region_9,0,m,sourcing,1,28,3,1,1,0,54,0
204,3864,13323,Sales & Marketing,region_7,0,m,other,1,30,5,1,1,0,49,1
205,3901,17115,Sales & Marketing,region_13,0,m,other,1,24,3,1,0,0,52,0
207,3939,16097,Sales & Marketing,region_22,0,m,sourcing,2,24,3,1,0,0,51,0
216,4207,35356,Sales & Marketing,region_22,0,m,sourcing,1,21,3,1,1,0,52,1
226,4545,59101,Technology,region_9,0,m,other,1,27,3,1,0,0,80,0
234,4751,5768,Operations,region_22,0,m,other,1,24,4,1,1,0,65,0
242,4874,557,Sales & Marketing,region_26,0,m,other,1,26,3,1,0,0,52,0
245,4900,37379,Sales & Marketing,region_2,0,m,other,4,25,5,1,0,0,47,0
246,4930,62673,Sales & Marketing,region_28,0,m,sourcing,1,26,4,1,0,0,45,0
247,4949,50502,Sales & Marketing,region_2,0,m,other,1,22,5,1,1,0,52,0
248,4951,26356,Sales & Marketing,region_26,0,m,other,1,23,3,1,0,0,46,0
249,4985,22712,Sales & Marketing,region_32,0,f,other,1,29,5,1,0,0,50,0
254,5141,6040,Sales & Marketing,region_13,0,m,other,1,22,3,1,0,0,50,0
257,5182,51955,Sales & Marketing,region_7,0,f,other,1,25,5,1,0,0,52,0
263,5308,38895,Analytics,region_22,0,m,other,2,26,5,1,1,0,85,0
264,5323,24570,Sales & Marketing,region_2,0,m,other,1,23,5,1,0,0,49,0
277,5550,77342,Sales & Marketing,region_31,0,m,sourcing,1,23,3,1,0,0,47,0
290,5837,55445,Sales & Marketing,region_2,0,m,sourcing,1,20,5,1,0,0,47,0
293,5878,42088,Sales & Marketing,region_26,0,f,sourcing,1,24,5,1,0,0,49,0
294,5889,33087,Sales & Marketing,region_2,0,m,other,1,23,3,1,0,0,49,0
315,6429,24606,Analytics,region_31,0,m,other,1,29,3,1,1,0,84,0
318,6481,28106,Sales & Marketing,region_6,0,m,other,1,23,3,1,0,0,52,0
330,6827,38567,Sales & Marketing,region_28,0,m,sourcing,1,30,5,1,0,0,49,0
331,6857,55665,Sales & Marketing,region_22,0,m,other,1,28,5,1,0,0,49,0
337,6951,9015,Analytics,region_22,0,m,sourcing,1,25,5,1,1,0,83,0
348,7221,13853,Sales & Marketing,region_22,0,m,sourcing,2,27,3,1,0,0,48,0
351,7273,60658,Operations,region_31,0,m,sourcing,1,27,3,1,0,0,60,0
366,7533,66876,Sales & Marketing,region_7,0,m,sourcing,2,26,3,1,0,0,51,0
369,7615,15961,Operations,region_8,0,f,other,1,29,5,1,0,0,59,0
373,7803,69892,Sales & Marketing,region_22,0,f,other,1,27,3,1,1,0,45,0
377,7887,14754,Sales & Marketing,region_2,0,m,sourcing,1,22,1,1,0,0,50,0
395,8272,62806,Sales & Marketing,region_7,0,m,sourcing,1,24,3,1,0,0,53,0
397,8365,11708,Sales & Marketing,region_28,0,m,other,1,29,3,1,0,0,51,0
408,8622,12491,Operations,region_2,0,f,other,1,29,3,1,0,0,55,0
