,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
10,29934,Technology,region_23,0,m,sourcing,1,30,,1,0,0,77,0
21,33332,Operations,region_15,0,m,sourcing,1,41,4.0,11,0,0,57,0
32,35465,Sales & Marketing,region_7,0,f,sourcing,1,24,1.0,2,0,0,48,0
43,17423,Sales & Marketing,region_2,0,m,other,3,24,2.0,2,0,0,48,0
82,66013,Sales & Marketing,region_2,0,m,sourcing,2,25,3.0,2,0,0,53,0
87,69094,Sales & Marketing,region_2,0,m,sourcing,1,39,1.0,9,0,0,49,0
90,62658,Sales & Marketing,region_2,0,f,sourcing,1,20,,1,0,0,55,0
189,6254,Operations,region_2,0,f,other,1,33,4.0,9,0,0,64,0
204,60761,Operations,region_16,0,f,other,1,31,4.0,2,0,0,62,0
231,57235,Sales & Marketing,region_26,0,m,other,1,22,4.0,2,0,0,51,0
245,24414,R&D,region_2,0,m,other,1,25,,1,1,0,76,0
277,55550,Analytics,region_27,0,m,sourcing,1,31,3.0,4,0,0,85,0
323,45496,Sales & Marketing,region_2,0,m,other,1,22,5.0,2,0,0,62,1
336,5128,Operations,region_2,0,m,other,1,48,3.0,8,0,0,57,0
352,69715,Operations,region_2,0,f,other,1,58,4.0,18,1,0,60,0
354,56139,Sales & Marketing,region_16,0,m,other,1,24,4.0,2,0,0,51,0
359,36936,Sales & Marketing,region_28,0,m,other,1,24,2.0,2,1,0,52,1
365,72765,Operations,region_2,0,f,sourcing,1,53,3.0,11,0,0,57,0
397,6711,Sales & Marketing,region_6,0,m,sourcing,1,23,3.0,2,0,0,51,0
415,67946,Analytics,region_32,0,m,other,1,27,3.0,2,0,0,88,0
416,41763,Sales & Marketing,region_26,0,m,other,1,43,1.0,4,0,0,49,0
475,36691,Sales & Marketing,region_14,0,m,other,1,24,,1,1,0,55,0
508,6788,Sales & Marketing,region_2,0,f,other,2,40,,1,1,0,51,0
514,15369,Analytics,region_22,0,f,other,1,29,4.0,5,0,0,86,0
570,62499,Operations,region_2,0,f,other,1,33,3.0,9,0,0,58,0
574,20516,Sales & Marketing,region_2,0,m,other,1,24,3.0,2,1,1,81,1
586,22660,Sales & Marketing,region_27,0,m,sourcing,2,24,,1,0,0,47,0
589,29142,Sales & Marketing,region_31,0,m,sourcing,1,27,5.0,3,1,0,49,0
597,47584,Procurement,region_2,0,f,sourcing,1,53,1.0,11,0,0,67,0
609,30088,Operations,region_2,0,m,sourcing,1,36,4.0,3,0,0,59,0
629,109,Technology,region_27,0,m,sourcing,2,28,3.0,2,0,0,79,0
670,65257,Sales & Marketing,region_2,0,m,sourcing,3,45,3.0,6,0,0,47,0
678,40019,Analytics,region_27,0,m,other,1,31,4.0,6,1,0,86,0
690,28851,Procurement,region_2,0,f,sourcing,1,37,4.0,11,0,0,70,0
699,70961,Sales & Marketing,region_7,0,m,sourcing,1,33,2.0,7,1,0,49,0
714,6099,Sales & Marketing,region_22,0,f,sourcing,1,27,,1,0,0,48,0
738,10377,Sales & Marketing,region_22,0,m,sourcing,1,26,4.0,2,1,0,53,0
793,34642,Sales & Marketing,region_2,0,m,sourcing,1,23,,1,0,0,44,0
794,38439,Procurement,region_2,0,f,sourcing,1,28,3.0,4,0,0,68,0
817,68530,Operations,region_9,0,m,sourcing,1,27,3.0,2,0,0,65,0
843,66950,Sales & Marketing,region_2,0,m,other,1,29,4.0,2,0,0,47,0
866,8926,Sales & Marketing,region_31,0,m,sourcing,1,25,4.0,3,0,0,47,0
867,35744,Sales & Marketing,region_28,0,m,other,1,25,4.0,3,1,0,64,1
880,63754,Analytics,region_31,0,m,other,1,26,5.0,2,1,0,87,0
887,53048,Analytics,region_31,0,m,other,1,27,,1,0,0,91,0
892,31205,Operations,region_2,0,f,sourcing,1,37,3.0,9,0,0,61,0
903,66596,Sales & Marketing,region_25,0,m,other,1,26,,1,0,0,51,0
919,49815,Sales & Marketing,region_7,0,m,other,1,40,3.0,4,0,0,52,0
947,54208,Sales & Marketing,region_15,0,m,other,1,36,4.0,4,0,0,51,0
1015,23436,Technology,region_2,0,f,other,1,45,3.0,3,1,0,81,0
1079,76325,Sales & Marketing,region_27,0,m,other,1,26,3.0,3,0,0,54,0
1119,37770,Sales & Marketing,region_31,0,m,sourcing,1,24,,1,0,0,53,0
1123,72720,Sales & Marketing,region_15,0,m,other,1,39,2.0,4,0,0,48,0
1139,57220,Sales & Marketing,region_14,0,m,sourcing,1,25,,1,0,0,51,0
1160,14613,Operations,region_2,0,f,sourcing,1,43,3.0,4,0,0,64,0
1169,36805,Analytics,region_29,0,m,sourcing,1,30,,1,1,0,85,0
1175,35480,Sales & Marketing,region_2,0,m,other,1,25,3.0,2,0,0,46,0
1181,33535,Sales & Marketing,region_7,0,m,sourcing,1,27,3.0,4,1,0,48,0
1188,63434,Sales & Marketing,region_22,0,f,other,2,23,,1,0,0,43,0
1193,21714,Sales & Marketing,region_19,0,m,sourcing,1,41,4.0,8,0,0,46,0
1197,63965,Sales & Marketing,region_2,0,f,other,1,30,1.0,4,0,0,50,0
1204,8611,Technology,region_2,0,f,other,1,60,3.0,31,0,0,82,0
1207,22207,Analytics,region_22,0,m,sourcing,1,29,4.0,7,0,0,87,0
1223,47740,Sales & Marketing,region_15,0,m,sourcing,1,31,3.0,6,1,0,44,0
1254,65198,Sales & Marketing,region_31,0,m,other,1,34,1.0,5,0,0,48,0
1256,49777,HR,region_2,0,m,sourcing,1,29,4.0,2,0,0,48,0
1299,19050,Analytics,region_31,0,f,other,1,27,1.0,4,0,0,88,0
