,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
3,42719,Analytics,region_21,0,m,sourcing,1,27,,1,0,0,80
7,56772,Sales & Marketing,region_22,0,m,other,2,23,,1,1,0,53
9,65459,Operations,region_27,0,m,other,1,26,,1,1,0,56
11,12723,Sales & Marketing,region_27,0,m,sourcing,1,23,,1,0,0,50
14,18612,Sales & Marketing,region_22,0,m,other,1,26,,1,0,0,48
22,65943,Sales & Marketing,region_25,0,m,other,1,26,,1,1,0,55
25,3994,Sales & Marketing,region_16,0,m,other,1,23,,1,0,0,50
29,42042,Technology,region_22,0,m,other,1,29,5.0,1,0,0,75
36,983,Sales & Marketing,region_22,0,m,sourcing,1,26,,1,0,0,50
38,58375,Sales & Marketing,region_14,0,m,other,1,24,,1,1,0,46
42,51408,Sales & Marketing,region_2,0,f,other,2,23,,1,1,0,51
50,45424,Sales & Marketing,region_2,0,m,sourcing,1,25,,1,0,0,49
60,61900,Sales & Marketing,region_15,0,m,other,1,23,,1,0,0,49
62,59193,Sales & Marketing,region_26,0,m,other,1,26,,1,0,0,48
64,44489,Sales & Marketing,region_9,0,m,other,1,23,3.0,1,0,0,56
66,34431,Sales & Marketing,region_2,0,m,other,1,22,,1,0,0,51
73,11626,Analytics,region_22,0,m,sourcing,1,27,,1,1,1,88
74,58716,Sales & Marketing,region_6,0,m,other,1,30,,1,0,0,48
80,10009,Sales & Marketing,region_2,0,m,sourcing,2,21,,1,0,0,52
91,50738,Sales & Marketing,region_2,0,m,sourcing,1,28,,1,1,0,55
93,77563,Sales & Marketing,region_2,0,m,sourcing,1,24,5.0,1,1,0,44
98,13022,Analytics,region_2,0,m,sourcing,1,25,,1,0,0,92
110,11549,Sales & Marketing,region_2,0,m,other,1,22,,1,0,0,51
114,13902,Sales & Marketing,region_13,0,m,sourcing,1,23,3.0,1,0,0,53
125,35551,Sales & Marketing,region_7,0,f,sourcing,1,23,,1,0,0,52
130,41968,Sales & Marketing,region_2,0,f,sourcing,1,26,,1,0,0,47
137,20443,Sales & Marketing,region_31,0,m,sourcing,1,23,3.0,1,0,0,42
142,18740,Analytics,region_32,0,m,other,2,27,,1,1,0,84
143,21974,Sales & Marketing,region_25,0,m,other,1,27,,1,0,0,48
147,73556,Sales & Marketing,region_5,0,m,other,1,22,,1,1,0,48
175,49820,Sales & Marketing,region_26,0,m,sourcing,1,24,,1,0,0,43
181,22044,Sales & Marketing,region_16,0,m,other,1,21,3.0,1,0,0,48
182,47173,Sales & Marketing,region_2,0,m,other,2,21,,1,1,0,52
202,19247,Sales & Marketing,region_22,0,m,other,2,22,3.0,1,0,0,50
220,72809,Sales & Marketing,region_22,0,m,sourcing,1,26,,1,0,0,49
