,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
10,29934,Technology,region_23,,m,sourcing,1,30,3,1,0,0,77,0
23,71177,Procurement,region_5,Bachelor's,m,other,1,27,3,1,0,0,70,0
29,74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,3,1,0,0,44,0
56,45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,3,1,0,0,49,0
58,26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,5,1,1,0,47,0
62,9150,Analytics,region_22,Bachelor's,f,other,1,28,5,1,1,0,80,0
66,77981,Finance,region_22,Bachelor's,m,other,1,27,4,1,1,1,58,1
67,16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,5,1,0,0,61,1
84,44575,Legal,region_7,Bachelor's,m,other,1,29,3,1,0,0,65,1
89,9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,3,1,0,0,51,0
90,62658,Sales & Marketing,region_2,,f,sourcing,1,20,2,1,0,0,55,0
96,64109,Technology,region_26,Bachelor's,f,sourcing,1,23,3,1,0,0,77,0
111,51444,HR,region_13,Bachelor's,f,other,1,30,2,1,1,0,54,0
123,41746,Operations,region_22,Bachelor's,f,sourcing,1,27,5,1,1,0,58,0
125,5461,Analytics,region_8,Bachelor's,m,other,1,28,5,1,1,0,83,0
127,66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,1,1,0,0,50,0
135,5102,Operations,region_7,Bachelor's,m,sourcing,1,24,5,1,1,0,56,0
141,50593,Finance,region_23,Bachelor's,m,sourcing,1,31,3,1,1,0,56,0
160,45157,HR,region_4,Bachelor's,m,other,1,27,5,1,1,0,50,0
178,28314,Finance,region_26,Bachelor's,m,other,1,23,3,1,0,0,61,0
214,17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,3,1,0,0,85,0
220,43676,Procurement,region_2,Bachelor's,m,other,4,29,3,1,0,0,68,0
232,22300,HR,region_20,Bachelor's,m,other,1,28,5,1,1,0,52,0
242,42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,3,1,0,0,54,0
245,24414,R&D,region_2,,m,other,1,25,3,1,1,0,76,0
255,15737,Finance,region_22,Bachelor's,m,sourcing,1,24,3,1,0,0,56,0
272,35873,Legal,region_2,Below Secondary,m,other,1,28,3,1,0,0,62,0
313,11892,Procurement,region_12,Bachelor's,f,other,1,25,5,1,1,0,69,0
316,22511,Technology,region_24,Bachelor's,m,sourcing,1,28,3,1,0,0,81,0
334,74579,Operations,region_2,Below Secondary,m,other,2,26,3,1,0,0,61,0
371,6587,Procurement,region_13,Bachelor's,m,other,1,29,3,1,0,0,69,0
374,56233,Analytics,region_22,Bachelor's,f,other,1,24,5,1,1,0,86,0
381,9192,Operations,region_21,Bachelor's,m,other,1,28,3,1,0,0,61,0
386,36460,Operations,region_13,Bachelor's,m,other,1,29,3,1,0,0,62,0
389,64798,Analytics,region_22,Bachelor's,m,other,3,30,5,1,1,0,83,0
427,22462,Sales & Marketing,region_32,Bachelor's,f,other,1,29,1,1,0,0,53,0
430,10002,HR,region_2,Below Secondary,m,sourcing,1,24,5,1,1,0,52,0
436,5640,Analytics,region_2,Bachelor's,m,sourcing,1,29,3,1,0,0,88,0
471,53981,Operations,region_5,Bachelor's,m,sourcing,1,31,5,1,1,0,65,0
475,36691,Sales & Marketing,region_14,,m,other,1,24,3,1,1,0,55,0
492,57033,Operations,region_2,Bachelor's,m,sourcing,1,25,3,1,0,0,65,0
508,6788,Sales & Marketing,region_2,,f,other,2,40,5,1,1,0,51,0
517,30155,Analytics,region_32,Bachelor's,m,other,2,28,3,1,0,0,82,0
518,59337,Analytics,region_22,Master's & above,m,sourcing,1,26,5,1,1,0,84,0
522,573,R&D,region_22,Bachelor's,f,other,1,29,4,1,1,0,86,0
531,54550,Technology,region_8,Bachelor's,f,other,1,28,3,1,0,0,81,0
532,31552,Sales & Marketing,region_21,Bachelor's,m,other,1,30,5,1,1,0,50,0
542,63667,Procurement,region_26,Bachelor's,m,other,1,28,5,1,0,0,82,1
553,18621,Sales & Marketing,region_2,Bachelor's,f,other,1,29,1,1,0,0,45,0
566,5272,Operations,region_2,Below Secondary,f,sourcing,1,24,5,1,0,0,73,1
567,49389,Legal,region_27,Below Secondary,m,other,1,27,5,1,1,0,59,0
577,52241,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,24,3,1,0,0,49,0
586,22660,Sales & Marketing,region_27,,m,sourcing,2,24,3,1,0,0,47,0
587,11943,Technology,region_27,Bachelor's,f,referred,1,30,3,1,1,0,76,0
591,44301,Technology,region_11,Bachelor's,f,other,1,32,3,1,0,0,80,0
592,24875,Operations,region_34,Bachelor's,m,other,1,26,3,1,0,0,65,0
602,20927,Sales & Marketing,region_1,Bachelor's,m,sourcing,2,29,3,1,0,0,47,0
639,64764,Technology,region_2,Bachelor's,m,sourcing,1,26,5,1,1,1,81,1
656,22820,Procurement,region_2,Bachelor's,m,sourcing,1,26,3,1,0,0,72,0
686,5303,Sales & Marketing,region_34,Bachelor's,m,other,1,26,5,1,1,0,48,0
694,54321,Technology,region_7,Bachelor's,m,sourcing,1,30,5,1,1,0,78,1
714,6099,Sales & Marketing,region_22,,f,sourcing,1,27,3,1,0,0,48,0
